isbn,title,author,category,description,image,price,stock
2623485702504,Pride and Prejudice,Jane Austen,Fiction,A fantastic book by Jane Austen.,https://covers.openlibrary.org/b/id/14348537-L.jpg,15.75,19
1038567085569,Alice's Adventures in Wonderland,Lewis Carroll,Fiction,A fantastic book by Lewis Carroll.,https://covers.openlibrary.org/b/id/10527843-L.jpg,26.76,9
3568491852524,A Christmas Carol,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/12875748-L.jpg,23.87,32
6835411763039,The Picture of Dorian Gray,Oscar Wilde,Fiction,A fantastic book by Oscar Wilde.,https://covers.openlibrary.org/b/id/14314858-L.jpg,18.65,20
2141346729604,Wuthering Heights,Emily Brontë,Fiction,A fantastic book by Emily Brontë.,https://covers.openlibrary.org/b/id/12818862-L.jpg,25.67,11
7360700914501,Adventures of Huckleberry Finn,Mark Twain,Fiction,A fantastic book by Mark Twain.,https://covers.openlibrary.org/b/id/8157718-L.jpg,16.16,13
6750110515434,Robinson Crusoe,Daniel Defoe,Fiction,A fantastic book by Daniel Defoe.,https://covers.openlibrary.org/b/id/368541-L.jpg,21.8,22
6774658442977,The Scarlet Letter,Nathaniel Hawthorne,Fiction,A fantastic book by Nathaniel Hawthorne.,https://covers.openlibrary.org/b/id/5654516-L.jpg,22.95,47
8274848319940,Hamlet,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/8281954-L.jpg,16.06,41
9560370058385,Emma,Jane Austen,Fiction,A fantastic book by Jane Austen.,https://covers.openlibrary.org/b/id/9278312-L.jpg,22.87,8
2047022182298,Oliver Twist,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/13300802-L.jpg,19.1,26
3201216140209,Frankenstein or The Modern Prometheus,Mary Shelley,Fiction,A fantastic book by Mary Shelley.,https://covers.openlibrary.org/b/id/12356249-L.jpg,16.02,9
6011136959730,Sense and Sensibility,Jane Austen,Fiction,A fantastic book by Jane Austen.,https://covers.openlibrary.org/b/id/9278292-L.jpg,12.57,16
3963427161090,A Tale of Two Cities,Charles Dickens,Fiction,A fantastic book by Charles Dickens.,https://covers.openlibrary.org/b/id/13301713-L.jpg,17.83,38
5030698418692,The Wonderful Wizard of Oz,L. Frank Baum,Fiction,A fantastic book by L. Frank Baum.,https://covers.openlibrary.org/b/id/552443-L.jpg,18.71,41
2182937856894,Treasure Island,Robert Louis Stevenson,Fiction,A fantastic book by Robert Louis Stevenson.,https://covers.openlibrary.org/b/id/13859660-L.jpg,26.13,41
6211423755050,Little Women,Louisa May Alcott,Fiction,A fantastic book by Louisa May Alcott.,https://covers.openlibrary.org/b/id/8775559-L.jpg,22.97,24
8582289541615,Macbeth,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/872432-L.jpg,18.75,7
7108783467987,Gulliver's Travels,Jonathan Swift,Fiction,A fantastic book by Jonathan Swift.,https://covers.openlibrary.org/b/id/12717083-L.jpg,23.99,17
7164852077345,The Call of the Wild,Jack London,Fiction,A fantastic book by Jack London.,https://covers.openlibrary.org/b/id/12393037-L.jpg,25.6,31
9901061048659,King Lear,William Shakespeare,Fiction,A fantastic book by William Shakespeare.,https://covers.openlibrary.org/b/id/7420452-L.jpg,18.77,14
2595332899163,The Secret Garden,Frances Hodgson Burnett,Fiction,A fantastic book by Frances Hodgson Burnett.,https://covers.openlibrary.org/b/id/12622062-L.jpg,28.25,18
6851661845497,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,Fiction,A fantastic book by Miguel de Cervantes Saavedra.,https://covers.openlibrary.org/b/id/14428305-L.jpg,14.43,38
4080189379872,Madame Bovary,Gustave Flaubert,Fiction,A fantastic book by Gustave Flaubert.,https://covers.openlibrary.org/b/id/12993424-L.jpg,27.55,37
1023733272713,The Art of War,孙武 (Sun Tzu),Fiction,A fantastic book by 孙武 (Sun Tzu).,https://covers.openlibrary.org/b/id/4849549-L.jpg,27.05,42
