isbn,title,author,category,description,image,price,stock
3302958487579,Kim,Rudyard Kipling,Fiction,Kim by Rudyard Kipling. An incredible book set in India.,https://covers.openlibrary.org/b/id/1053011-L.jpg,23.9,50
5440449725843,The Jungle Book,Rudyard Kipling,Fiction,The Jungle Book by Rudyard Kipling. An incredible book set in India.,https://covers.openlibrary.org/b/id/3344204-L.jpg,16.47,70
2252442601906,The  eyes of Asia,Rudyard Kipling,Fiction,The  eyes of Asia by Rudyard Kipling. An incredible book set in India.,https://covers.openlibrary.org/b/id/1788188-L.jpg,10.94,40
1028555225936,The Complete Jungle Book,Rudyard Kipling,Fiction,The Complete Jungle Book by Rudyard Kipling. An incredible book set in India.,https://covers.openlibrary.org/b/id/762390-L.jpg,21.14,85
8743269673334,Rikki-Tikki-Tavi,Rudyard Kipling,Fiction,Rikki-Tikki-Tavi by Rudyard Kipling. An incredible book set in India.,https://covers.openlibrary.org/b/id/4123182-L.jpg,7.79,47
5385159844856,"Soldiers three, The story of the Gadsbys, In black and white",Rudyard Kipling,Fiction,"Soldiers three, The story of the Gadsbys, In black and white by Rudyard Kipling. An incredible book set in India.",https://covers.openlibrary.org/b/id/6239210-L.jpg,22.02,99
4766931238942,The Story of Little Black Sambo,Helen Bannerman,Fiction,The Story of Little Black Sambo by Helen Bannerman. An incredible book set in India.,https://covers.openlibrary.org/b/id/2974467-L.jpg,12.76,48
3712722820318,Rāmacaritamānasa,Tulasīdāsa,Fiction,Rāmacaritamānasa by Tulasīdāsa. An incredible book set in India.,https://covers.openlibrary.org/b/id/5368040-L.jpg,19.68,68
4174604973910,Constitution,India,Fiction,Constitution by India. An incredible book set in India.,https://covers.openlibrary.org/b/id/4053200-L.jpg,6.68,28
3173855195114,The Moor's Last Sigh,Salman Rushdie,Fiction,The Moor's Last Sigh by Salman Rushdie. An incredible book set in India.,https://covers.openlibrary.org/b/id/8304194-L.jpg,10.42,33
4439301016268,Sharpe's Tiger,Bernard Cornwell,Fiction,Sharpe's Tiger by Bernard Cornwell. An incredible book set in India.,https://covers.openlibrary.org/b/id/1074-L.jpg,7.79,98
1206687751818,Mandala,Pearl S. Buck,Fiction,Mandala by Pearl S. Buck. An incredible book set in India.,https://covers.openlibrary.org/b/id/785912-L.jpg,16.6,94
3811887862597,India the Land,Bobbie Kalman,Fiction,India the Land by Bobbie Kalman. An incredible book set in India.,https://covers.openlibrary.org/b/id/1610715-L.jpg,10.66,37
6549558284668,The Indian Musalmans,William Wilson Hunter,Fiction,The Indian Musalmans by William Wilson Hunter. An incredible book set in India.,https://covers.openlibrary.org/b/id/13460947-L.jpg,8.9,71
6485649010910,The towers of silence,Paul Scott,Fiction,The towers of silence by Paul Scott. An incredible book set in India.,https://covers.openlibrary.org/b/id/5508171-L.jpg,7.99,17
1215779967035,The jewel in the crown,Paul Scott,Fiction,The jewel in the crown by Paul Scott. An incredible book set in India.,https://covers.openlibrary.org/b/id/5508203-L.jpg,7.88,78
2021890477301,Anabasis,Arrian,Fiction,Anabasis by Arrian. An incredible book set in India.,https://covers.openlibrary.org/b/id/1825647-L.jpg,15.25,81
